uf,estado,municipio,local_verificacao,data_ultima_verificacao,data_validade,ultimo_resultado,tipo_medidor,qt_faixas,velocidade_nominal,validade_atual,tipo_via,mes_ultima_verificacao,ano_ultima_verificacao
AL,ALAGOAS,rio largo,"rod. br 104  km 92,509 (colégio santos dumont)",2022-12-03,2023-12-02,APROVADO,FIXO,3,50,VENCIDO,Rodovia Federal,12,2022
AL,ALAGOAS,rio largo,"rod. br 104   km 90,000",2022-11-29,2023-11-28,APROVADO,FIXO,4,50,VENCIDO,Rodovia Federal,11,2022
AL,ALAGOAS,rio largo,rod. br 104 km 86+255,2022-11-08,2023-11-07,APROVADO,FIXO,4,50,VENCIDO,Rodovia Federal,11,2022
AL,ALAGOAS,rio largo,"rod. br 104, km 87,257",2022-07-27,2023-07-26,APROVADO,FIXO,4,50,VENCIDO,Rodovia Federal,7,2022
AL,ALAGOAS,rio largo,"rod. br 104, km 92,557",2022-12-03,2023-12-02,APROVADO,FIXO,3,50,VENCIDO,Rodovia Federal,12,2022
AL,ALAGOAS,rio largo,rod. br104   km 86+255m,2023-11-30,2024-11-29,APROVADO,FIXO,2,50,VENCIDO,Rodovia Federal,11,2023
AL,ALAGOAS,rio largo,rod. br104   km 90+000m,2023-12-06,2024-12-05,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,rod. br104   km 91+392m,2023-12-02,2024-12-01,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,rod. br104   km 92+509m,2023-12-18,2024-12-17,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,rod. br104   km 92+557m,2023-12-19,2024-12-18,APROVADO,FIXO,3,50,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,rod. br104   km 94+320m,2023-12-18,2024-12-17,APROVADO,FIXO,2,60,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,rod. br104 ¿ km 90+000m,2023-12-14,2024-12-13,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,12,2023
AL,ALAGOAS,rio largo,"rod.br 104 km 91,392",2022-11-07,2023-11-06,APROVADO,FIXO,4,50,VENCIDO,Rodovia Federal,11,2022
AL,ALAGOAS,santana do ipanema,"br 316/al km 84,33",2024-09-28,2025-09-27,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,9,2024
AL,ALAGOAS,santana do ipanema,"br 316/al km 84,82",2024-09-28,2025-09-27,APROVADO,FIXO,2,50,VÁLIDO,Rodovia Federal,9,2024
