uf,ano,i1,i2,i3,i4,i5,i6,i7
RJ,2024,3.427396321261282,1.9613786485373745,2.2360218224693984,1.1913744987918835,0.9967177242888403,16.102590258297205,44.3987395400375
RN,2024,3.6647620544275483,1.5223802169146263,0.865546816874848,2.7992152375527004,0.995,21.196718199649887,38.20446607688749
RO,2024,1.254384314406604,0.6191512321109519,0.4663736553563014,0.7880106590503024,0.9811320754716981,4.12215024817027,32.827199557362626
RR,2024,2.317737611346536,1.176165355011675,1.8334342298711406,0.48430338147539564,0.9710144927536232,0.7030229988952496,0.9012599901807927
RS,2024,2.4953077626449782,1.7265027190913902,1.4918908513402955,1.0034169113046827,0.9687062120504437,5.1589558025329545,144.6176409534835
SC,2024,4.004933830110707,2.1344124094582257,2.843813479365432,1.1611203507452748,0.9873708381171068,16.485434956105347,38.81322077349506
SE,2024,4.347004347004347,2.069054700633648,1.024579971948393,3.322424375055954,0.9820224719101124,28.637086795121085,1.3392360702815957
SP,2024,4.232102234308229,2.073234941762283,3.433449493325905,0.7986527409823236,0.9876962816939705,3.8676785138738317,1382.2847385539776
TO,2024,7.695005065066624,3.48493900274466,4.047724183312121,3.6472808817545044,0.9888734353268428,3.9241769205187897,48.18315162097452
BR,2024,4.1622262381011845,2.1070458671668986,2.5477009308041683,1.6145253072970156,0.9890933486678167,6.539501081246191,39.44343885362754
AC,2025,0.10321062450168621,0.07740796837626465,0,0.10321062450168621,0.8,0.23980384045850495,NA
AL,2025,3.7355819819355625,1.586012177675228,0.16906728797553194,3.5665146939600305,0.9851380042462845,39.68829285973179,NA
AM,2025,0.6875821875583565,0.34379109377917827,0.5000597727697139,0.1875224147886427,0.9166666666666666,0.37059341270208923,NA
AP,2025,3.1981351318697717,1.3858585571435678,2.7717171142871355,0.4264180175826363,0.9782608695652174,0.9380863039399624,NA
BA,2025,3.5398570927129187,1.6141188127998571,1.3917835750280763,2.1480735176848422,0.98972099853157125,7.775473349683382,NA
CE,2025,8.597188394650258,3.7284597212811543,3.3695313787609646,5.227657015889293,0.9985819625638117,3.6634082087280704,NA
DF,2025,9.682556838127121,5.229831207309437,5.64518073957227,4.0373760985548515,0.9990783410138249,18.762088974854933,NA
ES,2025,4.140719846485254,2.295807464793548,0.7064022968595532,3.4343175496257006,0.9804270462633452,17.86529680365297,NA
